Unnamed: 0,id,foodname,foodtype,recommend,imgurl,price
12,13,Coke chicken wings,Cantonese cuisine,"In fact, my grandma learned to cook this coke chicken wing for me a long time ago, and since then I have loved it. The bibimbap tastes so fragrant. Later, I asked my grandma, and I could do it once. Very simple.",http://img.xiaochushuo.com/web/262687496.jpg!s4,65.36
13,14,Cucumber crust and egg soup,Cantonese cuisine,"A must-have summer heat relief soup??
Highly recommended?",http://img.xiaochushuo.com/web/264596864.jpg!s4,52.67
14,15,Bird's Nest Soup,Cantonese cuisine,"Today I’ll have a high-end product, bird’s nest soup.",http://img.xiaochushuo.com/web/48172735.jpg!s4,72.41
15,16,Stir-fried celery lotus root slices and lily,Cantonese cuisine,"Pastoral flavor, simple, fresh and refreshing",http://img.xiaochushuo.com/web/265055879.jpg!s4,40.57
16,17,Asparagus with crab meat,Cantonese cuisine,"Sweet and refreshing, fresh and fresh, the combination of asparagus and crab meat is so perfect~",http://img.xiaochushuo.com/web/262532074.jpg!s4,84.89
17,18,Golden Soup Fish,Cantonese cuisine,The golden soup made with pumpkin is also very delicious~,http://img.xiaochushuo.com/web/daa8e9bb474edc68dfd96bcc6511530e.jpg!s4,52.11
18,19,Sad and ecstatic char siew rice,Cantonese cuisine,"The thick oily red sauce is sweet in honey, the skin is crispy and tender and juicy.
Boil a few Cantonese cabbage hearts, a sun egg, and add a portion of hot rice? I hope your heart can be comforted.

Honey is a taste that my grandfather likes. When we meet again in the future, I will definitely make it for you to eat.",http://img.xiaochushuo.com/web/262847456.jpg!s4,88.17
19,20,Braised wing tip,Cantonese cuisine,A braised wing tip can make you eat several bowls of rice! !,http://img.xiaochushuo.com/web/d15e059c7e9bf17f04469974028c175d.jpg!s4,83.25
20,21,Hakka rotten skin roll,Cantonese cuisine,"This is my favorite Hakka dish!
Although the production process is a little complicated, you will feel that it is worth it when you taste it!",http://img.xiaochushuo.com/web/256506013.jpg!s4,98.58
21,22,Chicken with scallion oil,Cantonese cuisine,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E9%B8%A1%E8%85%BF%E4%B8%8D%E5%86%8D%E7%82%96%E7%9D%80%E5%90%83%EF%BC%8C%E6%94%B9%E6%8D%A2%E8%92%B8%E7%9D%80%E5%90%83%EF%BC%8C%E5%88%AB%E6%9C%89%E4%B8%80%E7%95%AA%E6%BB%8B%E5%91%B3%E3%80%82%E8%BF%99%E9%81%93%E8%91%B1%E6%B2%B9%E9%B8%A1%EF%BC%8C%E5%81%9A%E6%B3%95%E7%AE%80%E5%8D%95%EF%BC%8C%E8%91%B1%E9%A6%99%E6%B5%93%E9%83%81%EF%BC%8C%E8%82%89%E8%B4%A8%E5%AB%A9%E6%BB%91%EF%BC%8C%E5%80%BC%E5%BE%97%E4%B8%80%E8%AF%95%E5%93%A6%E3%80%82 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",http://img.xiaochushuo.com/web/262698019.jpg!s4,30.72
22,23,Pepper pork belly chicken,Cantonese cuisine,"Pig belly dumpling chicken is a traditional local dish in Guangdong Province. It belongs to the Cantonese cuisine, also known as Pig belly dumpling chicken hotpot and Phoenix reincarnation. It is popular in Guangdong's eastern Guangdong areas such as Huizhou, Heyuan, Meizhou, etc., and is a must-have for banquets in the Hakka region of Guangdong. Use soup before meals, with a rich medicinal flavor and pepper aroma.
Today, this Kunbo casserole, which is known as ""dry and hot, and quenching,"" is used to make this dish. The method of simmering at low heat throughout the process, and the characteristics of far-infrared rays generated when the casserole is heated, that is, do not remove the cover immediately after turning off the heat. , continue to simmer for twenty minutes. It can maximize the nutrition of the dishes and reduce the loss of nutrients. The meat produced is smooth and delicious, and the soup is refreshing.",http://img.xiaochushuo.com/web/264516260.jpg!s4,33.34
23,24,Homemade chicken nuggets,Cantonese cuisine,Delicious and so simple ~ I can eat two bowls with rice and poured with soup?,http://img.xiaochushuo.com/web/d1c88c4eeea69d23eab8f96a1737bf0d.jpg!s4,118.59
24,25,Xiangshi Guang & Honey Sauce,Cantonese cuisine,Like to eat Cantonese cuisine? Char siu is a model,http://img.xiaochushuo.com/web/258964954.jpg!s4,114.78
25,26,Honey chicken legs,Cantonese cuisine,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E7%94%9C%E7%94%9C%E7%9A%84%E8%82%89%E9%A6%99%EF%BC%8C%E5%95%83%E5%AE%8C%E9%B8%A1%E8%85%BF%3F%EF%BC%8C%E8%BF%9E%E6%B1%A4%E6%B1%81%E4%B9%9F%E8%A6%81%E6%8B%8C%E7%9D%80%E9%A5%AD%E5%90%83%EF%BC%8C%E5%8D%B3%E4%B8%8B%E9%A5%AD%E5%8F%88%E5%A5%BD%E5%90%83%3F%EF%BC%8C%E5%8F%AF%E4%BB%A5%E6%99%9A%E4%B8%8A%E5%81%9A%E5%A5%BD%EF%BC%8C%E7%AC%AC%E4%BA%8C%E5%A4%A9%E6%97%A9%E4%B8%8A%E8%A3%85%E5%85%A5%E4%BE%BF%E5%BD%93%3F%EF%BC%8C%E5%BE%AE%E6%B3%A2%E7%82%89%E4%B8%80%E7%83%AD%EF%BC%8C%E5%B0%B1%E5%8F%AF%E4%BB%A5%E4%BA%AB%E5%8F%97%E7%BE%8E%E5%91%B3%E4%BE%BF%E5%BD%93%E4%BA%86%E3%80%82 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",http://img.xiaochushuo.com/web/264258451.jpg!s4,64.93
26,27,Mango Black Rice Coconut Milk Sago,Cantonese cuisine,"Mango black rice coconut milk sago dew is fragrant, sour and sweet, refreshing and sweet! The delicious dessert is rich in milk, delicate and smooth, clears heat and detoxifies, and is also one of the classic desserts in Manji Desserts.",http://img.xiaochushuo.com/web/262307890.jpg!s4,106.89
27,28,Stewed pork with wild rice eggplant,Cantonese cuisine,"Stewed meat with water chestnut eggplant, a combination of meat and vegetables, is nutritionally balanced, and is very delicious?",http://img.xiaochushuo.com/web/eb6677beb67c7b99cf8a83cd33de91aa.jpg!s4,117.52
28,29,Vegetarian fried double diced,Cantonese cuisine,Today I’ll have a different dish of fried double diced rice?,http://img.xiaochushuo.com/web/4714f2110989feb70f24911489871b80.jpg!s4,64.93
29,30,Steamed Duobao fish?,Cantonese cuisine,Follow me to make a steamed Duobao fish with rich nutritional value and simple use?,http://img.xiaochushuo.com/web/264755967.jpg!s4,39.89
30,31,Three Yellow Chicken Stewed Potatoes,Cantonese cuisine,"Sanhuang chicken is fresh and sweet, and stewed with potatoes. It is a delicious meal that is so delicious that it licks dry on the plate??",http://img.xiaochushuo.com/web/264593920.jpg!s4,56.73
31,32,Classic Chaoshan cuisine｜Pickle belly soup,Cantonese cuisine,"The inconspicuous pickles are the best partners with pork belly. The degree of integration between the two is like eggs to tomatoes. Traditional Chaoshan pickled pork belly soup is not difficult to make, the most difficult thing is to clear it! wash! pig! Belly! Pork belly is the hardest ingredient I have ever encountered so far.
This article has successfully restored the pickled pork belly soup made by my mother from the selection of ingredients, washing to cooking. No matter whether you are a Chaoshan or not, it is absolutely right to follow it.",http://img.xiaochushuo.com/web/263510539.jpg!s4,102.35
32,33,Oyster scrambled eggs,Cantonese cuisine,"Originated in the Xiamen, Zhangzhou and Quanzhou area of ​​Fujian, it is a classic Han snack in southern Fujian, Taiwan, Chaoshan and other places. The origin is a substitute food invented by people in coastal areas without being able to eat enough, and is a symbol of a poor life. Oyster eggs are said to be such a creative cuisine invented in a poor society. 
The oysters taste a little fishy, ​​and how to remove the fishy and keep the umami flavor is crucial. Usually, to remove the fishy smell, some chefs will stir eggs in the oysters. While covering the fishy smell of oysters, oysters also lose their soul. The recipe for this oyster egg that Sister Nan recommends to you today is to surround the oysters, maintain the original flavor of the oysters, and taste fresh, tender, delicious.",http://img.xiaochushuo.com/web/264449515.jpg!s4,75.4
33,34,Steamed dragon fish,Cantonese cuisine,"Longli fish has no bones and no thorns, and is delicious and very suitable for the elderly and children.",http://img.xiaochushuo.com/web/264226715.jpg!s4,93.95
34,35,Guerre,Cantonese cuisine,"Guerro is a Cantonese dish, sweet and sour, and the meat is covered with sweet and sour sauce, which is very good for rice?",http://img.xiaochushuo.com/web/240242823.jpg!s4,58.81
35,36,Baby supplementary food ~ pastoral pork rib porridge,Cantonese cuisine,"Suitable for 15 months+
Pastoral porridge is a complementary food I often make, it is simple and nutritious. Since the baby is 8 months old, he often cooks all kinds of pastoral porridge, and the baby also likes it very much. The so-called pastoral refers to the vegetables of the season. If I only use vegetables to make porridge, the porridge will not be so fragrant, so I always use ribs or bone soup to make porridge, which not only increases the aroma of the porridge, but also increases the nutrition of the porridge. You must choose the fine ribs. The fine ribs are more tender and the baby can enjoy the meat.",http://img.xiaochushuo.com/web/256748236.jpg!s4,99.51
36,37,Braised yellow croaker with sauce,Cantonese cuisine,"Yellow croaker contains high protein and contains fat, ash, calcium, phosphorus, iron, vitamin B1, vitamin B2, niacin, iodine, etc., among which the phosphorus and iodine content are particularly high.",http://img.xiaochushuo.com/web/264071776.jpg!s4,85.98
37,38,Stir-fried shrimp with broccoli,Cantonese cuisine,"Fried shrimp with broccoli will play a role in reducing weight and removing fat, strengthening the spleen and stomach. It tastes delicious and is an ideal delicacy for girls.",http://img.xiaochushuo.com/web/c3621996109e20c26269691f5e071733.jpg!s4,66.48
38,39,Pigeon stewed with round meat,Cantonese cuisine,"?Dog meat is not only nutritious, but also has health benefits that nourish blood, promote blood circulation, and nourish the skin. It is a common food for removing wind and detoxification, removing spots and nourishing the skin.
?Lycium barbarum has the effects of protecting eyes, replenishing blood, reducing the three highs, and anti-aging.
?Longyuan meat has the effects of calming the mind, nourishing blood and qi, and nourishing intelligence and brain.

?The soup is sweet and delicious! Regular drinking of this soup can strengthen the body and nourish the kidneys, strengthen the brain and mind, improve memory, nourish the skin and beautify the skin, prolong life and other effects.",http://img.xiaochushuo.com/web/264365989.jpg!s4,48.95
39,40,Steamed clam eggs,Cantonese cuisine,"The pearl treasure pot is also called steamed clam eggs. Clams are a must-have ingredient in New Year’s dishes. Clams are known as ""the most freshest in the world"". Clam stewed eggs are one of the characteristics of Cantonese cuisine. They are delicious, nutritious, high in protein, tender and smooth, and the juice penetrates into the eggs. It tastes delicious, nutritious, high in protein, tender and smooth, and the juice penetrates into the eggs. It tastes delicious and nutritious, suitable for all ages.",http://img.xiaochushuo.com/web/264783979.jpg!s4,51.38
40,41,Salt-baked hand-pulled chicken,Cantonese cuisine,Simple and quick-selling dishes with extremely high success rate,http://img.xiaochushuo.com/web/264357891.jpg!s4,100.64
41,42,Raw rolled beef porridge,Cantonese cuisine,"Cantonese porridge, every family has different recipes, which is my own way of making them.",http://img.xiaochushuo.com/web/263941693.jpg!s4,110.03
42,43,"Pineapple Guru Pork - Fruits are used as a dish, but accidentally became a famous dish",Cantonese cuisine,"The ancient pineapple meat can also be written as pineapple guru meat, or pineapple guru meat, which is a traditional Cantonese dish. This dish is bright in color, with three colors: red, yellow and green, and looks very attractive. The Guru meat on the plate is like a bud that is about to bloom. If you take a bite, it will taste the deliciousness of the meat while it is crispy and sweet.",http://img.xiaochushuo.com/web/262590325.jpg!s4,37.28
43,44,Fragrant grilled balang fish,Cantonese cuisine,"Balang fish has a large output and is cheap. It can supplement protein, nourish the brain and improve intelligence, remove wind and dampness, nourish the kidney and blood.",http://img.xiaochushuo.com/web/e2b577b0aac913b4dd46c8728a425565.jpg!s4,79.7
44,45,Raw jelly razor clam king,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E7%B2%A4%E8%8F%9C (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))","Heat the casserole. Add a little peanut oil and add dried garlic, onion, ginger and stir-fry it with fresh ones. Use the steam of the garlic to bake it with a strong garlic flavor for 3 minutes. The original garlic flavor is strong.",http://img.xiaochushuo.com/web/265115968.jpg!s4,84.43
45,46,Beer pork belly,Cantonese cuisine,"The pork belly made in this way is soft and delicious, very delicious",http://img.xiaochushuo.com/web/263444255.jpg!s4,84.02
46,47,Stir-fried beef with lettuce,Cantonese cuisine,"Lettuce and beef stir-fry, fresh and delicious",http://img.xiaochushuo.com/web/5ac759f8ffdb994ed52cec4177b0257d.jpg!s4,104.14
47,48,Steamed shrimp with garlic,Cantonese cuisine,"Steamed shrimp with garlic is without soul without fans. I just happened to buy 600 when I bought shrimp. Steamed together makes the taste even more fresh. If you don’t have 600, you can not add it.",http://img.xiaochushuo.com/web/264336688.jpg!s4,34.74
48,49,Stir-fried black ears in bean curd,Cantonese cuisine,"Fried bean curd and fungus is a simple home-cooked delicacy. The main ingredients are bean curd and fungus, which are rich in nutrition and suitable for all ages.",http://img.xiaochushuo.com/web/264700628.jpg!s4,105.48
49,50,Braised duck cubes,Cantonese cuisine,"Cantonese braised pork has a strong and refreshing flavor. Add seasonal tender ginger, duck pieces to remove bones, and eat meat. The ginger and duck meat are combined to enhance the fragrance and remove fishy smell, making the taste more perfect and delicious.",http://img.xiaochushuo.com/web/265648800.jpg!s4,113.78
50,51,Egg-slipping beef,Cantonese cuisine,"Egg-sliding beef is a local specialty dish in Guangdong. It is one of the most distinctive dishes in Cantonese cuisine. Egg-sliding beef uses beef and eggs as the main ingredients. It is a home-cooked dish in Guangdong. The dish is light yellow in color, fresh and smooth in meat, and a strong egg aroma.",http://img.xiaochushuo.com/web/daa18cc101c577ae0d153f330fd8ba33.jpg!s4,76.03
51,52,Egg bean curd sugar water,Cantonese cuisine,Egg bean curd sugar water is probably a sugar water that everyone in Guangdong knows! It’s very simple to cook and is the best choice for a leisurely afternoon in summer!,http://img.xiaochushuo.com/web/263755973.jpg!s4,106.0
52,53,Shrimp run eggs,Cantonese cuisine,"Use the simplest ingredients to make simple and delicious.
Often, the freshness of ingredients is the most tested and the cooking skills of the cooker.
Just like this tender and smooth ""shrimp run egg"" made with a combination of eggs and shrimps! The plump and round shrimps met the sweet, delicious and steaming eggs, and the whole dish was extremely tender. Now, you don’t have to wait to go to the tea restaurant, you can also make such a classic Cantonese dish with a sleek texture at home!",http://img.xiaochushuo.com/web/264331283.jpg!s4,111.56
53,54,Salted egg yolk chicken wings,Cantonese cuisine,"The best way to cook chicken wings, Coke chicken wings are not the best, salted egg yolk chicken wings are really fragrant!
The salted egg yolk chicken wings that Sister Nan shared with you today is definitely a hardcore dish! The golden color makes foodies feel very appetizing. The rich salted egg yolk is wrapped in marinated chicken wings. After frying, it is golden and crispy, very tender and juicy. Just take a bite and the salty, fresh and tender taste is fascinating, super delicious, and a plate is not enough to eat. !",http://img.xiaochushuo.com/web/263673286.jpg!s4,118.01
54,55,Taro pork buckle,Cantonese cuisine,"The first time I made it, it tasted pretty good, it took a long time to steam it, and the skin was not soft enough",http://img.xiaochushuo.com/web/264203486.jpg!s4,47.38
55,56,Candy Egg Roll,Cantonese cuisine,"Candy Egg Roll is a special dish in Chaoshan, and candy is dried radish",http://img.xiaochushuo.com/web/262978947.jpg!s4,98.16
56,57,Five flavors goose (five cups of goose),Cantonese cuisine,"There are many ingredient lists for Wuwei Geese among the people, as well as various styles such as Shunde Wuwei Geese and Taishan Wuwei Geese. My children’s favorite is the ingredient list made according to this ingredient list. It is sour and sweet and appetizing. If you like it, you can try it. Let's try it.",http://img.xiaochushuo.com/web/264554125.jpg!s4,41.3
57,58,Bai Hao Silver Needle Stewed Snow Pear,Cantonese cuisine,Stewed with tea and pears. It tastes good. You can try it,http://img.xiaochushuo.com/web/262538222.jpg!s4,67.1
58,59,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E8%92%9C%E8%8B%97%E7%82%92%E8%85%8A%E8%82%A0 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",Cantonese cuisine,"I like garlic shoots more than garlic shoots. I just haven't bought garlic shoots, so I can use garlic shoots instead. They are delicious when paired with various meats.",http://img.xiaochushuo.com/web/263938075.jpg!s4,109.03
59,60,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E7%8C%AA%E8%84%9A%E9%86%8B (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",Cantonese cuisine,"Pork feet vinegar is a Cantonese dish. It tastes sweet and sour, and is very suitable for women who are in confinement or menstruation to supplement calcium.",http://img.xiaochushuo.com/web/259766592.jpg!s4,46.62
60,61,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E7%B4%AB%E8%8B%8F%E8%B1%86%E8%B1%89%E8%92%B8%E8%8D%89%E9%B1%BC (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))","Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E7%B2%A4%E8%8F%9C (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",This dish is a relatively strong dish among Cantonese cuisine. Perilla is a spice that contains a unique aroma and is used as a seasoning and is fragrant. Perilla is still a very good Chinese medicine,http://img.xiaochushuo.com/web/226375461.jpg!s4,90.83
61,62,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E6%9D%BF%E6%A0%97%E5%B1%B1%E8%8D%AF%E6%B1%A4 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",Cantonese cuisine,"I like to make soup on holidays. The chestnut yam soup is simple to make, and it is a delicious soup that strengthens the spleen.",http://img.xiaochushuo.com/web/262498643.jpg!s4,101.38
62,63,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E8%8F%9C%E7%B2%92%E5%89%81%E6%A4%92%E9%B8%A1%E8%9B%8B%E7%82%92%E9%A5%AD (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",Cantonese cuisine,"Use the roots of the Cantonese vegetable heart to remove the old peel and cut the rice into pieces. Do not steam it too soft, remember",http://img.xiaochushuo.com/web/239056891.jpg!s4,89.67
63,64,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E5%B9%B4%E5%B9%B4%E6%9C%89%E4%BD%99%E4%B9%8B%E7%B3%96%E9%86%8B%E9%B1%BC-%E5%B9%B4%E5%A4%9C%E9%A5%AD (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",Cantonese cuisine,Eating fish during the Chinese New Year means surplus every year. This method is because of the extra layer of batter. The fish meat is crispy on the outside and tender on the inside. It has a sweet and sour taste and has a good taste.,http://img.xiaochushuo.com/web/262466592.jpg!s4,117.14
64,65,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E6%B8%85%E8%92%B8%E9%B1%BC%EF%BC%88%E6%97%B6%E9%97%B4%E7%85%AE%E9%9B%A8%EF%BC%89 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))","Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E7%B2%A4%E8%8F%9C (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))","A simple and simple dish of steamed fish, a delicious meal that takes fifteen minutes. The kitchen novices can complete this seemingly chef-like time cooking rain (fish) through these simple steps. nice",http://img.xiaochushuo.com/web/263431507.jpg!s4,108.05
65,66,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E8%92%B8%E7%8C%AA%E8%82%89 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",Cantonese cuisine,Steamed pork is a Cantonese dish with many ways to cook it. What I did this time was the most basic. Everyone is welcome to add sausage or salted fish after learning.,http://img.xiaochushuo.com/web/259587878.jpg!s4,74.61
66,67,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E7%88%86%E7%82%92%E7%89%9B%E6%9D%82 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",Cantonese cuisine,"Beef offal, also known as ""beef offal"", is a general term for beef internal organs and is a traditional delicacy originating from the old Guangzhou area. Because of its high protein, rich nutrition, and easy to be absorbed by the gastrointestinal tract, it is an excellent food for health.",http://img.xiaochushuo.com/web/264648921.jpg!s4,108.53
67,68,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E9%A6%99%E8%82%A0%E7%82%92%E8%8D%B7%E5%85%B0%E8%B1%86 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",Cantonese cuisine,"Dutch beans are called Dutch beans in China, and Dutch beans are called Chinese beans in the Netherlands hahaha?",http://img.xiaochushuo.com/web/262527826.jpg!s4,43.74
68,69,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E7%82%B8%E8%91%B1%E6%B2%B9%E3%80%90%E7%AE%80%E5%8D%95%E6%98%93%E5%81%9A%E3%80%81%E9%A6%99%E7%9A%84%E8%A6%81%E5%91%BD%E3%80%91 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",Cantonese cuisine,"Scallion oil is a home-cooked thing, but it is so fragrant. Whether it is noodles with scallion oil, chicken with scallion oil, the last spoonful of hot oil in the mixed vegetables, or the one used for stir-frying, they are all good things that add fragrance and flavor.",http://img.xiaochushuo.com/web/264168037.jpg!s4,68.64
69,70,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E8%9B%8B%E9%BB%84%E7%84%97%E5%8D%97%E7%93%9C (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",Cantonese cuisine,"Salty on the outside and sweet on the inside, crispy on the outside and glutinous on the inside.",http://img.xiaochushuo.com/web/263792697.jpg!s4,106.29
70,71,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E8%91%B1%E8%8A%B1%E7%85%8E%E8%9B%8B (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",Cantonese cuisine,That is ordinary Cantonese cuisine,http://img.xiaochushuo.com/web/260937941.jpg!s4,92.59
71,72,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E7%BF%A1%E7%BF%A0%E7%99%BD%E7%8E%89%E8%99%BE%E5%A7%91%E6%B1%A4 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",Cantonese cuisine,"Original flavor
Tasty and eye-catching
Soup dishes
Nutritious and delicious",http://img.xiaochushuo.com/web/258815828.jpg!s4,53.29
